Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.4,8,239,406
1/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9,237,429
1/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,10.9,259,410
13/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.2,242,408
16/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,11.1,163,286
20/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,10.6,198,386
23/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.3,163,332
27/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.4,232,394
30/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.6,243,411
2/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,9.3,270,507
2/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,10.8,209,354
2/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9,227,420
13/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,8.3,285,510
17/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,8.7,174,346
20/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.5,212,383
25/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.6,11.9,188,342
27/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,12.6,222,402
3/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9,213,424
3/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,10.9,164,311
13/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,8.6,234,395
17/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,10.3,221,458
20/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.6,10.7,249,496
24/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,10.4,244,414
28/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,11.1,205,429
31/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.2,210,384
4/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,7.8,194,401
4/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11.8,213,407
4/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,8.8,259,497
4/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,9.4,212,404
4/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,7.3,92,200
15/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,9.7,257,489
17/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.5,12.5,260,524
24/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,10.9,298,519
28/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.9,237,435
5/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.5,251,438
5/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,9.2,235,435
5/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,242,481
15/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,10.9,221,398
