Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
323,1/4/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9,10.4,201.3333333,365.3333333
323,1/7/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.8,10.6,194.6666667,280
323,1/11/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.4,10.6,194.3333333,272.6666667
323,16-01-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.4,10.2,194,329.6666667
323,18-01-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7.4,9.6,193,265
323,21-01-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.666666667,8.833333333,183.6666667,297
323,23-01-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.4,11.6,178,265
323,28-01-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.166666667,10.16666667,159.3333333,228.3333333
323,2/1/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.333333333,11.33333333,219.6666667,314
323,2/4/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.166666667,10.33333333,281.3333333,421
323,2/8/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.2,11.8,230,378.6666667
323,2/11/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.6,12.2,194,287.6666667
323,15-02-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11.83333333,14,199,313
323,18-02-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.6,12.4,201.3333333,330
323,22-02-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.2,11.4,233,349
323,25-02-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.333333333,12,151,259
323,3/4/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.4,11.4,206,362.6666667
323,3/8/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.833333333,10.5,183.3333333,320
323,3/11/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.2,12,188.6666667,341
323,18-03-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.166666667,11.33333333,242.6666667,401
323,22-03-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.75,12.75,246.6666667,428.3333333
323,25-03-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.6,12,234,394.3333333
323,29-03-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11.2,12.6,181,331.3333333
323,31-03-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.16666667,12.16666667,174,282
323,4/1/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.5,10.33333333,200.3333333,383.6666667
323,4/5/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.833333333,11.66666667,232.3333333,404
323,4/8/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.333333333,10.16666667,208.6666667,433.6666667
323,4/12/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.75,11,199.5,340
323,15-04-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.666666667,11.33333333,221.3333333,397.3333333
323,19-04-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,177,354
323,22-04-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,9.8,205.3333333,364.6666667
323,26-04-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.83333333,12.16666667,271,482
323,29-04-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.5,11.16666667,208.6666667,392.6666667
323,5/3/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.5,10.5,147,290
323,5/6/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.33333333,12.33333333,311,511
323,5/10/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9,10.83333333,210.6666667,360.6666667
323,13-05-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11.4,12.8,227.6666667,457
323,17-05-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.333333333,13,215,396.3333333
323,20-05-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.16666667,12.5,207.6666667,384.3333333
323,24-05-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.666666667,12.16666667,200.3333333,424.6666667
323,31-05-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.25,11.25,139.5,275
323,6/7/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,283.5,480
323,6/10/2010,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.4,11.2,259.6666667,362.3333333
323,14-06-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.2,11,205,396.6666667
323,17-06-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10,11.4,199.3333333,316
323,21-06-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,9.5,232.6666667,413.3333333
323,24-06-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.333333333,9.666666667,144,310.6666667
323,28-06-10,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7.8,10,226,379.3333333
